Qt,Qt-1,St-1,St
13.3,13.9,111,71
11.3,13.3,71,67
9.34,11.3,67,70
9.34,9.34,70,54
8.78,9.34,54,44
9.34,8.78,44,41
9.91,9.34,41,47
10.2,9.91,47,55
10.2,10.2,55,41
10.8,10.2,41,41
10.5,10.8,41,32
9.91,10.5,32,44
9.63,9.91,44,39
9.06,9.63,39,30
8.21,9.06,30,21
7.93,8.21,21,27
7.65,7.93,27,31
7.93,7.65,31,46
7.93,7.93,46,67
8.21,7.93,67,76
8.21,8.21,76,70
7.93,8.21,70,66
8.5,7.93,66,75
9.06,8.5,75,92
9.63,9.06,92,101
9.34,9.63,101,85
9.06,9.34,85,67
8.78,9.06,67,106
8.5,8.78,106,52
8.21,8.5,52,168
7.93,8.21,168,129
7.93,7.93,129,37
8.21,7.93,37,15
8.5,8.21,15,35
8.78,8.5,35,26
9.06,8.78,26,51
9.63,9.06,51,29
9.91,9.63,29,52
9.63,9.91,52,17
9.34,9.63,17,12
9.06,9.34,12,22
8.78,9.06,22,14
8.5,8.78,14,15
8.21,8.5,15,13
7.65,8.21,13,18
7.65,7.65,18,23
7.65,7.65,23,16
7.36,7.65,16,20
7.36,7.36,20,18
7.65,7.36,18,18
7.93,7.65,18,15
8.21,7.93,15,16
8.78,8.21,16,25
8.21,8.78,25,24
7.93,8.21,24,17
7.65,7.93,17,18
7.36,7.65,18,11
7.36,7.36,11,21
7.36,7.36,21,64
7.36,7.36,64,64
7.08,7.36,64,49
7.08,7.08,49,41
7.08,7.08,41,47
7.08,7.08,47,34
7.36,7.08,34,22
7.65,7.36,22,28
7.93,7.65,28,23
7.65,7.93,23,27
7.65,7.65,27,36
7.65,7.65,36,22
7.65,7.65,22,34
7.65,7.65,34,31
7.93,7.65,31,49
7.93,7.93,49,30
7.65,7.93,30,19
7.36,7.65,19,36
7.36,7.36,36,38
7.36,7.36,38,39
7.36,7.36,39,37
7.08,7.36,37,51
7.36,7.08,51,22
7.65,7.36,22,26
7.65,7.65,26,37
7.93,7.65,37,60
7.93,7.93,60,245
8.5,7.93,245,267
10.2,8.5,267,437
12.7,10.2,437,577
14.7,12.7,577,1010
19.8,14.7,1010,1310
28.3,19.8,1310,1820
48.1,28.3,1820,2390
76.5,48.1,2390,5650
66.3,76.5,5650,3920
43.3,66.3,3920,1030
31.1,43.3,1030,576
27.2,31.1,576,731
27.8,27.2,731,2290
31.1,27.8,2290,2220
34,31.1,2220,2490
31.1,34,2490,4280
26.9,31.1,4280,2010
25.8,26.9,2010,714
23.2,25.8,714,619
23.8,23.2,619,1300
22.6,23.8,1300,1040
21.9,22.6,1040,548
21,21.9,548,458
18.5,21,458,301
17,18.5,301,289
16.5,17,289,187
16.1,16.5,187,157
15.7,16.1,157,282
18.2,15.7,282,934
20.1,18.2,934,664
18.3,20.1,664,324
18.2,18.3,324,358
17,18.2,358,258
17,17,258,256
16.3,17,256,406
20.3,16.3,406,1470
23,20.3,1470,1030
20,23,1030,404
17.8,20,404,353
16.7,17.8,353,294
15.4,16.7,294,207
16.3,15.4,207,304
15.5,16.3,304,210
14.5,15.5,210,126
13.9,14.5,126,109
13.8,13.9,109,133
13.6,13.8,133,100
13.5,13.6,100,115
13.2,13.5,115,124
13.1,13.2,124,134
13,13.1,134,116
12.8,13,116,104
13,12.8,104,157
13.7,13,157,181
13.8,13.7,181,138
13.6,13.8,138,145
13.3,13.6,145,142
15.1,13.3,142,164
16.1,15.1,164,219
16.3,16.1,219,183
16.3,16.3,183,155
16.5,16.3,155,146
16.9,16.5,146,139
16.9,16.9,139,148
16.9,16.9,148,181
14.9,16.9,181,172
14.8,14.9,172,169
14.8,14.8,169,166
14.5,14.8,166,168
14,14.5,168,107
13.6,14,107,124
13.5,13.6,124,155
13.2,13.5,155,155
12.9,13.2,155,152
12.7,12.9,152,153
12.3,12.7,153,132
12.4,12.3,132,116
12.7,12.4,116,150
13,12.7,150,136
16,13,136,458
17.6,16,458,588
20.3,17.6,588,1020
22,20.3,1020,1130
24.3,22,1130,1450
30.9,24.3,1450,3560
32.6,30.9,3560,2840
33.4,32.6,2840,2890
33.1,33.4,2890,2600
32,33.1,2600,1760
32,32,1760,1500
28.9,32,1500,1030
27.6,28.9,1030,784
27.1,27.6,784,651
27.1,27.1,651,698
27.3,27.1,698,699
25.3,27.3,699,512
21.8,25.3,512,343
16.7,21.8,343,161
14.1,16.7,161,120
13,14.1,120,108
12.9,13,108,93
12.8,12.9,93,77
12.3,12.8,77,75
12.1,12.3,75,82
12.2,12.1,82,99
11.8,12.2,99,63
12,11.8,63,76
12.2,12,76,81
12,12.2,81,84
11.8,12,84,73
11.9,11.8,73,95
11.3,11.9,95,86
11.8,11.3,86,83
12.1,11.8,83,119
12.3,12.1,119,139
12.1,12.3,139,131
12,12.1,131,188
11.9,12,188,197
10.5,11.9,197,94
8.98,10.5,94,73
8.13,8.98,73,56
8.33,8.13,56,56
8.33,8.33,56,57
7.31,8.33,57,45
6.54,7.31,45,34
5.21,6.54,34,26
4.19,5.21,26,19
4.7,4.19,19,20
4.98,4.7,20,29
4.47,4.98,29,23
5.13,4.47,23,34
4.7,5.13,34,34
4.13,4.7,34,17
3.79,4.13,17,13
3.79,3.79,13,18
3.26,3.79,18,18
3.54,3.26,18,27
5.89,3.54,27,56
16.5,5.89,56,946
16.1,16.5,946,4740
11,16.1,4740,3630
9.85,11,3630,1270
9.97,9.85,1270,447
14.7,9.97,447,1370
12.2,14.7,1370,708
9.46,12.2,708,920
9.17,9.46,920,962
8.5,9.17,962,312
7.67,8.5,312,203
7.59,7.67,203,163
7.76,7.59,163,161
6.88,7.76,161,115
6.37,6.88,115,92
6.46,6.37,92,89
6.71,6.46,89,92
6.54,6.71,92,94
6.88,6.54,94,88
6.88,6.88,88,75
6.8,6.88,75,76
6.8,6.8,76,68
6.37,6.8,68,58
6.54,6.37,58,73
7.14,6.54,73,80
8.78,7.14,80,157
8.5,8.78,157,144
8.33,8.5,144,117
7.67,8.33,117,97
8.04,7.67,97,111
7.93,8.04,111,98
8.89,7.93,98,116
8.98,8.89,116,117
8.78,8.98,117,125
8.98,8.78,125,111
8.98,8.98,111,112
8.78,8.98,112,99
9.26,8.78,99,120
9.26,9.26,120,131
10.7,9.26,131,118
10.3,10.7,118,121
10.1,10.3,121,102
9.85,10.1,102,97
9.85,9.85,97,89
10.3,9.85,89,94
9.66,10.3,94,90
9.77,9.66,90,107
9.66,9.77,107,82
9.37,9.66,82,66
9.37,9.37,66,54
9.57,9.37,54,67
9.37,9.57,67,65
9.66,9.37,65,50
9.66,9.66,50,47
9.37,9.66,47,39
7.76,9.37,39,32
7.14,7.76,32,28
7.31,7.14,28,24
7.31,7.31,24,24
6.8,7.31,24,16
6.97,6.8,16,21
6.88,6.97,21,18
5.89,6.88,18,19
5.35,5.89,19,14
4.56,5.35,14,7
3.88,4.56,7,11
3.62,3.88,11,5.5
3.48,3.62,5.5,6
3.48,3.48,6,7.6
3.43,3.48,7.6,5.9
3.54,3.43,5.9,3.4
3.54,3.54,3.4,3.7
3.37,3.54,3.7,5.1
3.26,3.37,5.1,6.5
3.68,3.26,6.5,6.7
3.62,3.68,6.7,7.6
3.54,3.62,7.6,6.1
3.62,3.54,6.1,5.2
6.14,3.62,5.2,8.8
6.06,6.14,8.8,7.5
5.97,6.06,7.5,5.1
6.46,5.97,5.1,6.2
6.29,6.46,6.2,9
5.89,6.29,9,5.6
6.97,5.89,5.6,9.3
7.22,6.97,9.3,17
7.31,7.22,17,13
7.39,7.31,13,9.9
7.39,7.39,9.9,11
7.5,7.39,11,15
7.5,7.5,15,30
7.5,7.5,30,27
7.59,7.5,27,21
7.5,7.59,21,10
7.5,7.5,10,6.4
7.59,7.5,6.4,6.5
7.59,7.59,6.5,8
7.59,7.59,8,14
7.76,7.59,14,10
7.59,7.76,10,6.5
7.59,7.59,6.5,10
7.67,7.59,10,17
7.14,7.67,17,6.8
6.97,7.14,6.8,6
7.14,6.97,6,8.8
7.22,7.14,8.8,9.6
7.59,7.22,9.6,8.7
7.39,7.59,8.7,11
7.31,7.39,11,17
8.41,7.31,17,22
8.89,8.41,22,25
9.57,8.89,25,28
9.57,9.57,28,23
8.33,9.57,23,8.7
7.84,8.33,8.7,8.2
7.67,7.84,8.2,6.6
7.67,7.67,6.6,8
5.95,7.67,8,6.8
7.36,5.95,6.8,37
7.36,7.36,37,51
7.08,7.36,51,47
7.08,7.08,47,49
7.36,7.08,49,58
7.93,7.36,58,55
6.8,7.93,55,47
5.95,6.8,47,52
5.38,5.95,52,34
7.08,5.38,34,26
8.5,7.08,26,19
10.5,8.5,19,25
10.5,10.5,25,18
16.4,10.5,18,125
14.2,16.4,125,147
10.5,14.2,147,70
8.5,10.5,70,88
6.51,8.5,88,43
7.36,6.51,43,33
5.38,7.36,33,27
3.68,5.38,27,14
4.53,3.68,14,17
4.81,4.53,17,18
5.38,4.81,18,15
3.4,5.38,15,11
2.55,3.4,11,8
4.53,2.55,8,20
8.5,4.53,20,52
6.8,8.5,52,31
5.66,6.8,31,45
5.66,5.66,45,84
5.66,5.66,84,48
5.38,5.66,48,31
4.81,5.38,31,29
6.51,4.81,29,39
6.8,6.51,39,40
6.51,6.8,40,37
6.23,6.51,37,31
6.51,6.23,31,32
6.23,6.51,32,26
5.95,6.23,26,20
7.36,5.95,20,24
7.08,7.36,24,26
6.8,7.08,26,21
6.51,6.8,21,22
5.95,6.51,22,15
5.38,5.95,15,9.2
4.81,5.38,9.2,14
4.25,4.81,14,11
3.68,4.25,11,10
3.96,3.68,10,15
4.53,3.96,15,16
5.1,4.53,16,14
5.66,5.1,14,10
6.23,5.66,10,21
6.8,6.23,21,20
6.8,6.8,20,14
6.8,6.8,14,15
6.51,6.8,15,17
7.08,6.51,17,26
7.65,7.08,26,24
7.65,7.65,24,28
7.65,7.65,28,30
7.93,7.65,30,20
7.93,7.93,20,20
7.65,7.93,20,16
7.65,7.65,16,17
7.36,7.65,17,21
7.08,7.36,21,17
7.08,7.08,17,16
7.36,7.08,16,24
7.93,7.36,24,20
6.23,7.93,20,22
7.36,6.23,22,20
7.36,7.36,20,11
7.08,7.36,11,13
7.08,7.08,13,15
6.51,7.08,15,12
6.23,6.51,12,10
6.23,6.23,10,11
6.23,6.23,11,10
5.95,6.23,10,7.9
5.66,5.95,7.9,8.6
5.95,5.66,8.6,9.6
6.23,5.95,9.6,7.7
5.95,6.23,7.7,5.7
5.66,5.95,5.7,6.5
5.95,5.66,6.5,6.2
6.23,5.95,6.2,4.2
6.8,6.23,4.2,3.9
7.65,6.8,3.9,17
7.08,7.65,17,14
6.51,7.08,14,9.3
6.23,6.51,9.3,11
6.8,6.23,11,10
6.8,6.8,10,9.7
6.8,6.8,9.7,10
9.91,6.8,10,19
14.2,9.91,19,28
11.3,14.2,28,27
7.93,11.3,27,20
5.38,7.93,20,14
7.93,5.38,14,19
7.08,7.93,19,11
6.51,7.08,11,12
6.23,6.51,12,11
6.8,6.23,11,10
7.36,6.8,10,15
8.21,7.36,15,14
8.21,8.21,14,13
8.5,8.21,13,17
9.91,8.5,17,11
11.3,9.91,11,69
11.3,11.3,69,93
14.2,11.3,93,69
15,14.2,69,40
14.4,15,40,37
13.3,14.4,37,20
12.5,13.3,20,21
13.3,12.5,21,25
12.7,13.3,25,21
12.7,12.7,21,27
14.2,12.7,27,32
16.4,14.2,32,42
14.2,16.4,42,65
13,14.2,65,88
11.6,13,88,131
10.8,11.6,131,80
10.1,10.8,80,77
9.85,10.1,77,75
10.1,9.85,75,67
10.4,10.1,67,77
11,10.4,77,118
11,11,118,114
11.4,11,114,118
11.4,11.4,118,89
10.9,11.4,89,87
8.98,10.9,87,60
9.37,8.98,60,65
9.37,9.37,65,76
9.26,9.37,76,72
9.37,9.26,72,80
9.26,9.37,80,83
8.89,9.26,83,97
8.33,8.89,97,68
8.33,8.33,68,49
8.58,8.33,49,65
8.69,8.58,65,65
6.63,8.69,65,45
5.8,6.63,45,42
5.75,5.8,42,34
5.58,5.75,34,32
4.28,5.58,32,28
4.33,4.28,28,21
5.21,4.33,21,30
5.35,5.21,30,34
3.99,5.35,34,15
2.78,3.99,15,14
4.33,2.78,14,39
3.79,4.33,39,22
3.26,3.79,22,15
4.98,3.26,15,43
5.8,4.98,43,54
5.66,5.8,54,50
5.58,5.66,50,42
5.35,5.58,42,45
5.66,5.35,45,45
5.66,5.66,45,41
5.21,5.66,41,32
5.27,5.21,32,32
5.27,5.27,32,33
4.9,5.27,33,33
4.47,4.9,33,26
4.42,4.47,26,25
4.9,4.42,25,25
4.98,4.9,25,29
4.08,4.98,29,28
3.94,4.08,28,29
3.79,3.94,29,20
3.68,3.79,20,20
3.68,3.68,20,24
3.54,3.68,24,19
3.11,3.54,19,22
2.61,3.11,22,20
