D,L,N30_Ava,Cu_Ava,N30_Base,Cu_Base,UL,Q ,S_exp 
1,35.5,13.321127,80.430986,50,0,1,1500,0.681614
1,32.5,17.573846,37.615385,50,0,1,1097,0.505988
0.8,35,10.228571,8.071429,50,0,1,887.615,0.196262
0.8,46.9,10.681818,27.97619,50,0,2,3375.29,2.97425
1,43,14.813953,37.093023,35,0,2,4703.39,74.8521
0.8,46.9,10.681818,27.97619,50,0,1,745.921,0.375536
1.08,40,5.1375,16.75,0,27.5,1,1743.12,2.42276
1.2,57,10.015789,55.842105,50,0,1,9973.33,15
1,35.5,13.321127,80.430986,50,0,2,3000,5.88341
1,32.5,17.573846,37.615385,50,0,2,3301.06,5.48802
1.2,57,22.280702,43.026316,50,0,1,0,0
1.2,43.5,9.195402,51.270115,0,150,2,0,8.1
0.8,24,5.032258,20,0,40,2,0,0.713125
1,34,13.5,110.544118,45,0,2,4500,8.8785
1,42,17.064286,54.380952,50,0,2,2741.5,2.52535
1.2,38,9.210526,25,50,0,1,800.493,0.662983
0.8,24,6.258065,23.870968,0,50,1,2025,3.007794
0.8,20,28.5,18.75,45,0,1,1505.88,2.48182
1,32,15.4375,56.265625,50,0,1,4392.57,3.71429
1.2,57,10.015789,55.842105,50,0,2,9973.33,87.5
1,15,14.986667,4.841667,40,0,2,1651.76,5.75115
1,35.5,28.4,36.676056,50,0,1,6000,10.2634
1.2,70,18.214286,14.142857,50,0,1,10485.1,19.7834
1.2,70,18.214286,14.142857,50,0,2,9000,20.9032
1.2,43.6,14.862385,41.559633,0,20,2,8696.63,44.2797
1.2,43.5,3.241379,106.074713,50,0,1,7487.92,9.2827
1,49.5,15.879032,63.165323,0,200,1,8980.86,44.4304
1.08,22,23.295455,74.25,50,0,1,1781.67,0.469565
1,34,13.5,110.544118,45,0,1,2983.33,2.66355
0.8,46.9,10.681818,27.97619,50,0,1,0,0
0.8,24,5.483871,20,0,40,2,337.5,1.56875
